epoch,accuracy,loss,val_accuracy,val_loss
0,0.3476335406303406,1.3396447896957397,0.38040345907211304,1.3089255094528198
1,0.6340990662574768,1.0151946544647217,0.6224783658981323,0.98782879114151
2,0.7890949249267578,0.5924251079559326,0.6916426420211792,0.8052804470062256
3,0.8544146418571472,0.4098537266254425,0.6743515729904175,0.8040706515312195
4,0.8895654678344727,0.32407233119010925,0.6974063515663147,0.8110801577568054
5,0.9114309549331665,0.2593570947647095,0.6829971075057983,0.8799410462379456
6,0.9272072911262512,0.21867473423480988,0.6945244669914246,0.8695084452629089
7,0.9487960338592529,0.1742674857378006,0.6887608170509338,0.9661974310874939
8,0.9579296708106995,0.1488584727048874,0.6772334575653076,0.9691944718360901
9,0.9609742760658264,0.13360966742038727,0.6858789920806885,1.0433863401412964
10,0.9648491740226746,0.1210319921374321,0.6974063515663147,1.076613426208496
11,0.9676169157028198,0.10719867050647736,0.6858789920806885,1.1297097206115723
12,0.9706615209579468,0.09713339060544968,0.6858789920806885,1.1619625091552734
13,0.9706615209579468,0.09581875056028366,0.6657060384750366,1.2164520025253296
14,0.9745364189147949,0.09022270143032074,0.6887608170509338,1.2263479232788086
15,0.9761970639228821,0.081329844892025,0.6858789920806885,1.3042316436767578
16,0.9761970639228821,0.0805160403251648,0.6858789920806885,1.2958375215530396
17,0.9739828109741211,0.07753825187683105,0.6945244669914246,1.3218064308166504
18,0.976473867893219,0.07298769801855087,0.6743515729904175,1.343982458114624
19,0.976473867893219,0.06983133405447006,0.6916426420211792,1.3591612577438354
20,0.974259614944458,0.07416695356369019,0.680115282535553,1.3949036598205566
21,0.9775809645652771,0.06353698670864105,0.680115282535553,1.4604212045669556
22,0.9767506122589111,0.06995601207017899,0.6829971075057983,1.4614171981811523
23,0.9778577089309692,0.06824023276567459,0.6628242135047913,1.4911110401153564
24,0.9792416095733643,0.06179708242416382,0.6945244669914246,1.4452733993530273
